entity;occur;04/2016;04/2017;08/2016;12/2016;02/2016;02/2017;01/2016;01/2017;07/2016;06/2016;06/2017;03/2016;03/2017;05/2016;11/2016;10/2016;09/2016;04/2015;12/2014;12/2015;01/2015;05/2015;05/2017;11/2015;09/2015;08/2014;08/2015;02/2014;02/2015;01/2014;07/2014;07/2015;06/2014;06/2015;03/2014;03/2015;05/2014;11/2014;10/2014;10/2015;09/2014;07/2017;04/2014
Trump;329565;0.0365096006548093;0.02466838847946461;0.010691180398703724;0.045295747845122455;0.031102337568905913;0.003654630975803389;0.029443818966717727;0.020224617936498115;0.025165167234116225;-0.004333822412915425;-0.00425831884057971;0.014480308350730687;0.01647977248771773;0.03403443426450479;0.04745834259531872;0.0018867815541031222;0.024725366715664346;0.1204;None;0.026620971530249112;0.0;-0.01568;0.004058143456205613;0.30674999999999997;None;None;0.072633;None;0.20095;None;None;0.009314;None;0.05096125;None;0.185329;None;None;None;None;None;0.01685854939106901;None
one;154375;-0.00026335211938402866;0.005828880779450843;0.010439171205831729;0.014764450455927053;0.011089663585341695;0.016872403745250595;-0.005946613002566296;0.016737585200578244;-0.0027218281081081066;0.005316222331047993;-0.0035945199691595985;-0.010001736621769201;0.010882062054138572;0.010149188262638002;0.015495703601108036;0.0043737117361346434;0.007968674116965835;-0.031154766355140192;-0.04262679999999999;-0.023817949044585993;-0.0017294378378378376;-0.019528690721649485;0.004507655725853094;0.02172145652173913;0.32003333333333334;-0.10864666666666666;-0.015392803571428573;0.27876;-0.02316823076923077;0.017767;0.14757142857142855;-0.027850883720930232;-0.1366;0.008284644859813084;-0.1889085;-0.010549347471451876;0.2683;0.06012016;-0.026825;0.0422628947368421;0.17628749999999999;-0.023047790909090916;None
first;98413;0.02647504401154401;0.011123314300345667;0.03499573747870528;0.01942721708542714;0.03235266488079293;0.02751220956558653;0.012415173050801412;0.01941462158987078;0.01518323753449862;0.01231613998323554;0.02454549263818489;0.023953038727959695;0.01392847822286963;0.02233696019417476;0.025846679709631726;0.016166390563329747;0.016689450025983026;-0.006386453083109919;0.08699978125;-0.0101005375;-0.011506380165289255;0.0313498220338983;0.01996964616663204;0.040308079999999996;0.0;-0.060256;-0.01405681081081081;0.36808866666666673;0.06661323671497585;0.020799999999999996;0.10029433333333333;0.02542628260869565;0.087043;0.018889;0.1269125;0.0020372966507177033;-0.2757;0.0267504;-0.008355666666666667;0.08896884615384616;0.11315;0.02783952631578947;0.0
Clinton;94514;0.04590782586367881;0.01526470541205412;0.015772579111236907;-0.002218768008474577;0.04762312961476726;0.00890531300160514;0.0031115798341802624;0.008741673449131515;0.023106009626492105;0.026102984038861906;0.0010066048462255353;0.04669389311231781;-0.00850907770700637;0.014913569372345444;0.03289322948456086;0.0032036544635091328;0.007744414864263462;0.011153235576923074;0.5719;-0.004808250000000008;0.172709;0.05760638216560508;-0.004169298709677419;None;0.0;None;-0.029518;None;-0.0002;None;None;0.02505;None;0.021262;None;0.035874;None;None;None;0.0386;-0.12895;0.0014435217391304345;None
two;87315;-0.013394084647302906;-0.013307672855217846;-0.012644978446674093;-0.003268051471949639;-0.005169620658949242;-8.742847582399711e-06;-0.030919333519709262;0.004110774162679425;-0.026209795525902666;-0.02173813681210261;-0.02238891002835783;-0.026495034471752315;-0.012489913466375988;0.0037483241912798877;-0.0006681518467852261;-0.01038398294970162;-0.008453414644439754;-0.046689258064516126;0.034664051282051286;-0.06311468421052632;-0.09056932908704884;-0.02423678369905956;-0.01573347782258065;-0.002318181818181818;-0.01925;-0.10992483333333335;-0.05807888372093024;0.0;-0.04508363636363637;0.0;0.4963142857142858;-0.02205967741935484;-0.441356;-0.0314535591985428;0.010156499999999999;-0.044035548387096765;-0.2285;0.035336545454545454;0.25723333333333337;0.0;0.0;-0.005376513043478256;-0.1806
Obama;69721;0.019330382931354362;0.003430247329693804;-0.0026498535242290727;0.002582327556623199;0.014263053365513543;0.004760988883006881;-0.004542896058247553;0.028723702207862137;0.016854636384180794;-0.005039695694478224;0.00699930092923517;0.018122831130690166;0.001320055354371444;0.013351999194522754;0.0386481654676259;0.01869456717501816;0.014720010944563405;-0.000689144578313253;0.08670699999999999;0.013171766355140186;0.014801;0.04821720805369128;0.005120768403171008;0.03782;0.25;0.0;0.005169999999999999;None;-0.06648570526315789;None;None;0.028549176470588238;None;0.0512596511056511;None;0.03836018411552347;0.0;-0.23835;None;0.231025;0.0;-0.0274929756097561;None
american;54974;0.03142209944751381;0.02866770104497955;0.014399338896746815;0.05269497160704146;0.0340501564556962;0.037833003122212314;0.02611750736015702;0.06101591808378266;0.027800589932473908;-0.00017026405274115245;0.031040616980221897;0.006019647910863509;0.053489942411194834;0.018480025787965614;0.04215175384185526;0.016601477807666444;0.013059402563259943;0.002305;0.03578;-0.02186731858407079;-0.016013756097560977;0.05684713375796178;0.05276286355140188;0.08441854545454545;None;-0.260483;-0.16139333333333333;-0.148;0.03619978873239437;0.4037;None;0.091879;None;0.057745098712446354;None;-0.000663;None;0.022425;0.0;0.047544444444444445;-0.5106;0.12820302298850575;None
republican;52806;0.072289102262163;0.05893296224899598;0.062303303478712366;0.05914229685916919;0.06843434498567334;0.042364090192644484;0.06447471475892529;0.041959272759856635;0.06524642039068772;0.04457690767634856;0.03393386256684492;0.08361357627118644;0.05090211157393632;0.0884726;0.06963260204081632;0.045309952447163515;0.04512461509000383;0.055885000000000004;0.2235;0.05131153608247423;0.0677535238095238;0.04372241525423729;0.04681374162981681;0.0;None;None;-0.01067005;None;0.078558;None;None;0.06399400000000001;None;0.033109778894472364;None;0.047389999999999995;None;0.100475;None;0.039975;0.54895;0.006093807692307687;0.0
Donald Trump;52423;0.047558262843488644;0.04803077620881472;0.01244078857142857;0.043471998376623376;0.041841792550887824;0.013402107029318261;0.05402661550151975;0.026947093949044588;0.030230430513176136;-0.011167334737648409;0.017108911447084235;0.016891528735632183;0.040413864362850965;0.04094342380056444;0.04379451010544816;0.006492527937336815;0.02585922328181519;0.1806;None;-0.012197423076923078;0.0;0.12284;0.013757276679841895;0.0;None;None;-0.06437999999999999;None;0.20095;None;None;-0.046391;None;0.02733529411764706;None;0.1159;None;0.0;None;None;None;0.12763558333333333;None
be;46261;0.06638787587587587;0.07414008257839719;0.056339780704441046;0.07635783400072806;0.08456158551010351;0.07042624984227129;0.07069545492662473;0.07103332233834095;0.06446915245307869;0.06486979107679107;0.07014855336787565;0.06037309585798817;0.06659006795058138;0.06735341814946619;0.0534831782808631;0.06668001068597035;0.06944594138064018;0.04101012258064517;-0.012809000000000001;0.06501925806451612;0.043921538461538456;0.0968356536312849;0.07599762448418156;-0.0254;0.0;-0.16565;0.005845454545454543;None;0.048779;0.07455;None;0.13259;0.0;0.09369177664974619;0.0;0.08518796470588236;0.0;-0.2151;0.0;0.17102;None;0.04783253488372094;0.0
