entity;occur;06/2015;02/2015;01/2016;12/2015;07/2014;06/2014;11/2015;06/2017;08/2016;11/2014;09/2014;08/2014;10/2015;02/2014;12/2016;09/2015;05/2016;04/2016;03/2016;05/2014;01/2017;02/2017;05/2017;03/2017;07/2017;11/2016;09/2016;02/2016;04/2017;03/2015;06/2016;01/2014;10/2016;12/2014;10/2014;03/2014;04/2014;07/2016;01/2015;04/2015;07/2015;05/2015;08/2015
Trump;42224;None;None;0.009434999999999999;None;None;None;None;0.00719;0.009977;None;None;None;None;None;0.03623;None;0.031743;0.030770999999999996;0.03684;None;0.034838;0.020397;None;0.021096;None;0.041204000000000005;0.018528;0.012583;0.027565;None;-0.009225;None;0.00788201959558057;None;None;None;None;0.017596;None;None;None;None;None
one;18995;None;None;0.022726;None;None;None;None;-0.034276;0.024212;None;None;None;None;None;0.035705;None;0.027354000000000003;0.030856;0.016638999999999998;None;0.038356;0.033616;None;0.022938;None;0.028380000000000002;0.030233999999999997;0.030331;0.021155;None;0.02331;None;0.007084;None;None;None;None;0.016891;None;None;None;None;None
first;10316;None;None;0.051690999999999994;None;None;None;None;-0.07025;0.024241;None;None;None;None;None;0.026409;None;0.00256;0.022994999999999998;0.003139;None;0.018407;0.010385;None;0.01113;None;0.009728;0.030754000000000004;0.035391000000000006;0.008239;None;0.015005000000000001;None;0.020994;None;None;None;None;0.023826;None;None;None;None;None
Clinton;8641;None;None;0.018892;None;None;None;None;0.020437999999999998;None;None;None;None;None;-0.0032409999999999995;None;0.018418;0.055723;0.14907;None;0.012333;0.049263;None;0.022919;None;0.027688;0.028986;0.075917;0.030313;None;0.005946;None;0.025077000000000002;None;None;None;None;0.061151;None;None;None;None;None
two;8277;None;None;-0.010056;None;None;None;None;0.03188;0.012527;None;None;None;None;None;0.0017620000000000001;None;0.019814;-0.02978;0.034520999999999996;None;0.014315999999999999;0.014816;None;0.004934;None;0.027426999999999997;0.016266;0.044738;0.028062;None;-0.031822;None;0.006173;None;None;None;None;0.002171;None;None;None;None;None
american;7658;None;None;0.01851;None;None;None;None;0.0;-0.004561;None;None;None;None;None;0.055894000000000006;None;6.3e-05;-0.010685;-0.02845;None;0.07068200000000001;0.030119;None;0.054713;None;0.044662;0.032417;0.034672;0.026251999999999998;None;0.012639;None;0.007997;None;None;None;None;0.029852999999999998;None;None;None;None;None
Obama;6516;None;None;0.020111;None;None;None;None;-0.214625;-0.010965;None;None;None;None;None;0.016303;None;0.008020999999999999;0.00885;0.004164999999999999;None;0.031235000000000002;-0.0032340000000000003;None;-0.008576;None;0.028283999999999997;0.026994999999999998;0.046843;-0.025666;None;0.008020000000000001;None;0.043793;None;None;None;None;0.025756;None;None;None;None;None
Donald Trump;5913;None;None;0.019938;None;None;None;None;0.033431;None;None;None;None;None;0.026338;None;0.018559;0.041696;0.051615;None;0.031132;0.046692000000000004;None;0.001726;None;0.040006;0.027275999999999998;0.140673;0.02073994036697248;None;-0.027188;None;0.001577;None;None;None;None;0.027970788540245567;None;None;None;None;None
republican;5356;None;None;0.120657;None;None;None;None;-0.09877999999999999;0.102358;None;None;None;None;None;0.090297;None;0.09257;0.09486599999999999;0.066834;None;0.038921;0.044833;None;0.062226;None;0.076891;0.060098;0.087845;0.07084800000000001;None;0.05890700000000001;None;0.070384;None;None;None;None;0.062753;None;None;None;None;None
America;5207;None;None;0.009344;None;None;None;None;-0.2165;0.092301;None;None;None;None;None;0.060652;None;0.007156;-0.061964;0.112125;None;0.060791;0.043131;None;0.012014;None;0.064997;0.08470499999999999;0.068388;0.0075840000000000005;None;0.010008;None;0.0439;None;None;None;None;0.070104;None;None;None;None;None
be;5175;None;None;0.097173;None;None;None;None;0.040431;None;None;None;None;None;0.050744;None;0.030018;0.03495;0.034789999999999995;None;0.060021000000000005;0.059674;None;0.051207;None;0.003075;0.06413200000000001;0.10485499999999999;0.075317;None;0.067892;None;0.057366999999999994;None;None;None;None;0.05429199999999999;None;None;None;None;None
year;4870;None;None;0.013191;None;None;None;None;0.2716;0.01251;None;None;None;None;None;0.005717;None;0.007513;-0.0027129999999999997;-0.005035;None;0.0035875341365461852;0.060391999999999994;None;-0.015774;None;-0.014976;0.016294;0.076919;0.0035;None;0.019591;None;-0.0028309999999999997;None;None;None;None;0.021668;None;None;None;None;None
the United States;4299;None;None;0.333863;None;None;None;None;0.433933;0.341542;None;None;None;None;None;0.3748559736147758;None;0.38277100000000003;0.322527;0.318681;None;0.376288;0.359806;None;0.380899;None;0.370052;0.33581500000000003;0.4029;0.3984901263736264;None;0.3027367355769231;None;0.406536;None;None;None;None;0.362815;None;None;None;None;None
Americans;4264;None;None;0.010891;None;None;None;None;-0.06694;None;None;None;None;None;0.049677;None;-0.0024920000000000003;0.049868;0.049464999999999995;None;-0.036057;0.018858;None;0.015605;None;0.008121;-0.002516;0.037743;0.016611;None;-0.008804000000000001;None;0.025406;None;None;None;None;-0.042707;None;None;None;None;None
2016;3451;None;None;0.0032090000000000005;None;None;None;None;0.0;0.00733;None;None;None;None;None;0.059591;None;0.037589;0.050523;-0.035733;None;0.033004;0.012978;None;-0.003266;None;0.014015999999999999;0.008031;0.032471;0.012004;None;0.012240000000000001;None;0.019573;None;None;None;None;0.000897;None;None;None;None;None
Republicans;3420;None;None;0.066334;None;None;None;None;0.088276;None;None;None;None;None;0.050793;None;0.002168;0.01568;0.046347;None;-0.013106;0.028241000000000002;None;0.034746;None;0.030860000000000002;0.040803;0.059698;0.040566000000000005;None;-0.01609;None;0.024547;None;None;None;None;0.035983;None;None;None;None;None
000;3392;None;None;0.027801999999999997;None;None;None;None;-0.054542999999999994;-0.061523;None;None;None;None;None;-0.014049;None;-0.028145999999999997;-0.046053;-0.041388999999999995;None;-0.011127;-0.015649;None;0.007940000000000001;None;-0.005615;-0.003129;0.001998;-0.004838;None;-0.034741;None;-0.016715;None;None;None;None;-0.028151;None;None;None;None;None
Hillary Clinton;3386;None;None;-0.021425;None;None;None;None;0.014446;None;None;None;None;None;-0.010759999999999999;None;0.020759;0.053354;0.08452899999999999;None;-7.3e-05;0.005023181818181818;None;0.077849;None;0.04365469061876248;0.061413999999999996;0.101703;0.080965;None;0.026595;None;0.003821;None;None;None;None;0.071281;None;None;None;None;None
Republican;3293;None;None;0.128185;None;None;None;None;-0.09877999999999999;0.099063;None;None;None;None;None;0.06930399999999999;None;0.09073400000000001;0.111121;0.099736;None;0.028211;0.057662;None;0.057725;None;0.091788;0.05474;0.11731300000000001;0.061909000000000006;None;0.040011;None;0.07928500000000001;None;None;None;None;0.061323;None;None;None;None;None
New York;3224;None;None;0.005019;None;None;None;None;0.009523;None;None;None;None;None;0.029195;None;0.017113999999999997;0.041076;0.025398;None;0.016346;0.036161;None;0.030862;None;0.005673;-0.003251;0.068287;0.024918;None;0.021131999999999998;None;0.006869;None;None;None;None;0.035833;None;None;None;None;None
today;3182;None;None;0.032971;None;None;None;None;0.0;0.022359;None;None;None;None;None;0.025599;None;0.042414;-0.027264999999999998;0.027214;None;-0.009196;0.013487;None;0.047053;None;0.041831;0.011049;0.046833;0.007866;None;0.005231;None;0.012218000000000001;None;None;None;None;0.002865;None;None;None;None;None
