entity;occur;06/2015;02/2015;01/2016;12/2015;07/2014;06/2014;11/2015;06/2017;08/2016;11/2014;09/2014;08/2014;10/2015;02/2014;12/2016;09/2015;05/2016;04/2016;03/2016;05/2014;01/2017;02/2017;05/2017;03/2017;07/2017;11/2016;09/2016;02/2016;04/2017;03/2015;06/2016;01/2014;10/2016;12/2014;10/2014;03/2014;04/2014;07/2016;01/2015;04/2015;07/2015;05/2015;08/2015
Trump;9877;None;None;0.019214;None;None;None;None;0.052138;0.006829000000000001;None;None;None;None;None;0.066846;None;0.057133;0.010676999999999999;-0.002002;None;0.022133;0.005482;-5.6999999999999996e-05;0.020929;None;0.052265;0.035055;0.022021000000000002;0.032017000000000004;None;0.024956;None;0.021292;None;None;None;None;-0.047488999999999996;None;None;None;None;None
one;7317;None;None;0.012673;None;None;None;None;0.5267;-0.0064269999999999996;None;None;None;None;None;-0.004183;None;0.013257;-0.016115;-0.015131;None;-0.029092000000000003;0.005816;0.001823;0.000389;None;0.028908;-0.024843;0.00639;-0.031296;None;-0.010452;None;-0.00539;None;None;None;None;0.011581999999999999;None;None;None;None;None
BuzzFeed News;6600;None;None;0.018939898123324396;None;None;None;None;0.0;0.016009490616621984;None;None;None;None;None;-0.0002556925925925926;None;0.019280735294117647;0.006946174683544303;0.0033648173302107728;None;-0.005339126637554585;-0.0035281823529411762;0.017341301492537313;0.0015882864674868192;None;0.006737236363636365;-0.008904641509433963;0.026627276442307692;0.00302697277676951;None;0.0014725384615384618;None;0.007028507462686568;None;None;None;None;-0.011073000000000001;None;None;None;None;None
first;4158;None;None;-0.025663;None;None;None;None;0.041444;None;None;None;None;None;-0.022201;None;0.052811000000000004;-0.009720999999999999;-0.008506999999999999;None;0.00045;0.010794;-6.3e-05;-0.008967000000000001;None;0.021431;-0.027864999999999997;0.031342;-0.006166;None;-0.010576;None;-0.025207;None;None;None;None;-0.050612;None;None;None;None;None
two;3794;None;None;-0.06967899999999999;None;None;None;None;-0.051773;None;None;None;None;None;-0.02058;None;-0.049731;-0.004765999999999999;-0.046186000000000005;None;0.000513;-0.012695;-0.042068;-0.009105;None;-0.0237;-0.038154;-0.02547;-0.000266;None;-0.04324;None;-0.002668;None;None;None;None;-0.037196;None;None;None;None;None
US;3708;None;None;0.051322;None;None;None;None;-0.014661000000000002;None;None;None;None;None;0.020829;None;0.0;-0.065092;0.091583;None;0.005536;0.0001;0.005098;0.006344;None;0.000976;-0.019025999999999998;0.019688999999999998;0.000277;None;0.0019079999999999998;None;0.016186000000000002;None;None;None;None;-0.4939;None;None;None;None;None
Facebook;3038;None;None;0.05111;None;None;None;None;0.0;-0.020022;None;None;None;None;None;0.049053;None;0.026213;0.054085;0.035644999999999996;None;0.01766;0.049151;-0.006159;0.06230700000000001;None;0.0620298076923077;0.058848000000000004;0.060726999999999996;0.0077480000000000005;None;0.032004;None;0.059422;None;None;None;None;-0.011408;None;None;None;None;None
be;2310;None;None;0.10843399999999999;None;None;None;None;0.028618;None;None;None;None;None;0.097363;None;0.02729;0.063082;0.058687;None;0.054229999999999993;0.054986;0.12003499999999999;0.05210599999999999;None;0.083105;0.033257;0.07185;0.108052;None;-0.022472;None;0.048588;None;None;None;None;0.052860000000000004;None;None;None;None;None
000;2085;None;None;-0.024125;None;None;None;None;0.0;0.015202;None;None;None;None;None;0.0059689999999999995;None;0.02128;-0.015297;-0.036826;None;0.031186000000000002;0.002461;0.029669;0.019707;None;0.032204;0.015722999999999997;-0.0159;-0.047916;None;-0.031330000000000004;None;-0.004778;None;None;None;None;0.0041530000000000004;None;None;None;None;None
Clinton;1994;None;None;0.043593;None;None;None;None;0.001253;-0.023441999999999998;None;None;None;None;None;-0.0031579999999999998;None;0.11888499999999999;0.086978;0.07293999999999999;None;-0.046814999999999996;-0.174117;0.095667;-0.030414;None;0.064375;0.00626;0.079779;-0.008518000000000001;None;0.073573;None;0.0075780000000000005;None;None;None;None;0.029935000000000003;None;None;None;None;None
Twitter;1928;None;None;0.006553;None;None;None;None;0.0;-0.017846;None;None;None;None;None;0.045439;None;0.032329000000000004;-0.011528;-0.071426;None;-0.020475999999999998;0.060017999999999995;0.019678;-0.023528;None;0.004518;-0.078565;0.008227;0.038734119402985066;None;0.009594;None;-0.091658;None;None;None;None;-0.017516999999999998;None;None;None;None;None
year;1907;None;None;-0.031077999999999998;None;None;None;None;-0.020651;None;None;None;None;None;-0.044394;None;-0.06212;-0.011849;-0.025951;None;-0.023644;-0.004239;-0.040976;-0.038433999999999996;None;-0.031729;-0.037944;0.019137;-0.007117;None;-0.048128;None;-0.057727999999999995;None;None;None;None;-0.022941999999999997;None;None;None;None;None
Obama;1865;None;None;0.039310000000000005;None;None;None;None;-0.011931;None;None;None;None;None;-0.006451;None;-0.07737100000000001;0.024511;0.039202999999999995;None;0.04206;0.023805;-0.016009;-0.010091;None;0.019180000000000003;0.018113;0.071404;-0.067022;None;0.036413;None;0.013606;None;None;None;None;-0.0317;None;None;None;None;None
three;1579;None;None;-0.126669;None;None;None;None;-0.012676999999999999;None;None;None;None;None;-0.049559;None;-0.012417000000000001;-0.08712;-0.146399;None;0.005046;-0.042947000000000006;0.027999;-0.031695999999999995;None;-0.059142999999999994;-0.035092;-0.014113999999999998;-0.079104;None;-0.076753;None;-0.054970000000000005;None;None;None;None;0.018172;None;None;None;None;None
ISIS;1520;None;None;-0.073963;None;None;None;None;-0.151679;None;None;None;None;None;-0.207523;None;-0.004102000000000001;-0.143955;-0.165723;None;-0.109177;-0.13719;-0.127323;-0.186979;None;-0.188385;-0.16569;-0.156199;-0.166648;None;-0.040376;None;-0.080759;None;None;None;None;-0.186828;None;None;None;None;None
Tuesday;1407;None;None;-0.063943;None;None;None;None;0.021919;None;None;None;None;None;-0.040599;None;0.094864;-0.01318;0.023724000000000002;None;-0.036412;0.038647;-0.067477;0.013607;None;-0.013271999999999999;-0.065984;0.081278;-0.022344;None;-0.033118;None;0.011371;None;None;None;None;-0.030826999999999997;None;None;None;None;None
Friday;1403;None;None;-0.008629000000000001;None;None;None;None;-0.066858;None;None;None;None;None;-0.01295;None;0.0;-0.11184100000000001;-0.059289;None;0.006186;-0.012115;-0.032854;0.035722000000000004;None;-0.003348;-0.044025;-0.030302;-0.0027670000000000004;None;-0.07091499999999999;None;-0.029060000000000002;None;None;None;None;-0.040222;None;None;None;None;None
Donald Trump;1350;None;None;0.067129;None;None;None;None;0.033914;0.009337999999999999;None;None;None;None;None;0.050791;None;-0.06363300000000001;-0.0026030000000000003;-0.015865;None;0.000134;0.008121;0.017066;0.011779000000000001;None;0.063626;0.038889;-0.017276;0.096464;None;0.00746;None;0.020685;None;None;None;None;0.068587;None;None;None;None;None
Uber;1330;None;None;-0.005478;None;None;None;None;0.036707;None;None;None;None;None;0.002606;None;-0.031858;0.043582;0.013468;None;0.0009140000000000001;0.009826;-0.051148;-0.054033000000000005;None;0.013338999999999998;0.027277;-0.008288;-0.021251;None;-0.014261000000000001;None;0.025496;None;None;None;None;-0.014812;None;None;None;None;None
Russia;1311;None;None;-0.07230700000000001;None;None;None;None;0.0234;None;None;None;None;None;-0.007905;None;0.0;0.14495;-0.059062;None;0.023017;0.053707000000000005;-0.017598;-0.007232;None;0.006257;-0.002073;0.012903999999999999;0.054807;None;0.044056;None;-0.054589;None;None;None;None;0.055648;None;None;None;None;None
Wednesday;1250;None;None;-0.034628;None;None;None;None;-0.018289;None;None;None;None;None;-0.020197;None;0.027451999999999997;-0.014513999999999999;-0.013052000000000001;None;0.021968;-0.077968;-0.035644;0.023266;None;-0.030521;-0.06023;-0.020159;-0.032638;None;-0.046564999999999995;None;-0.03387;None;None;None;None;-0.066333;None;None;None;None;None
Thursday;1233;None;None;-0.06311699999999999;None;None;None;None;-0.013566;None;None;None;None;None;-0.018585;None;-0.12216700000000001;-0.028426999999999997;-0.068441;None;0.011154;0.0062439999999999996;-0.025365000000000002;0.00056;None;-0.028485000000000003;-0.06154400000000001;-0.0009550000000000001;-0.036953;None;-0.077677;None;-0.021243;None;None;None;None;-0.113482;None;None;None;None;None
republican;1222;None;None;0.07681;None;None;None;None;0.035769;None;None;None;None;None;0.05651900000000001;None;0.064095;0.071358;0.035052999999999994;None;0.029015;0.015363;-0.004884;0.066121;None;0.086698;0.062038;0.074792;0.10760399999999999;None;0.037455;None;0.065756;None;None;None;None;-0.1589;None;None;None;None;None
american;1221;None;None;0.025169999999999998;None;None;None;None;0.056188;None;None;None;None;None;0.074835;None;-0.012486;0.050702;-0.00468;None;0.079597;0.086034;0.016742;0.003421;None;0.086674;-0.021988999999999998;0.069619;0.007811;None;0.049483;None;0.00064;None;None;None;None;0.015657;None;None;None;None;None
New York;1201;None;None;0.084502;None;None;None;None;0.016516;None;None;None;None;None;0.011159;None;0.029417000000000002;0.034026;0.022786;None;0.006486;-0.020608;0.06171;-0.011621;None;0.065861;-0.0043630000000000006;-0.044792;0.0033590000000000004;None;0.012925;None;0.012844999999999999;None;None;None;None;0.000397;None;None;None;None;None
today;1165;None;None;0.008556999999999999;None;None;None;None;0.0036780000000000003;None;None;None;None;None;0.022036;None;-0.076322;0.014537000000000001;0.014268000000000001;None;0.072378;0.02136;0.020808;0.036634;None;-0.013803;0.033163;0.005118;0.001066;None;-0.02415;None;0.033184;None;None;None;None;-0.005862;None;None;None;None;None
Apple;1162;None;None;0.03727;None;None;None;None;0.100275;None;None;None;None;None;0.046286;None;0.060327;0.053008000000000007;0.068766;None;0.034196;0.261233;0.02267;0.047366000000000005;None;0.0020280000000000003;0.030425999999999998;0.026925;0.057464999999999995;None;0.07950299999999999;None;0.02737;None;None;None;None;-0.038847;None;None;None;None;None
Monday;1135;None;None;-0.043675;None;None;None;None;-0.06154400000000001;None;None;None;None;None;-0.085393;None;0.034233;-0.006208;0.008178;None;-0.004163;-0.043825;-0.034232;-0.034102;None;-0.061072;-0.051112;-0.0037159999999999997;-0.04401;None;-0.011941;None;-0.047275;None;None;None;None;0.09877999999999999;None;None;None;None;None
would;1117;None;None;0.040702999999999996;None;None;None;None;0.016196000000000002;None;None;None;None;None;0.007929;None;0.07347100000000001;0.06863;-0.01378;None;-0.015965;-0.014183000000000001;0.001301;0.095368;None;0.033981;-0.088629;0.072144;0.06687799999999999;None;0.057138;None;-0.0026920000000000004;None;None;None;None;0.006940000000000001;None;None;None;None;None
#;1095;None;None;-0.058176;None;None;None;None;-0.2732;0.052136;None;None;None;None;None;-0.0016870000000000001;None;0.0;-5.6000000000000006e-05;0.003399;None;0.039466;0.044858999999999996;0.035427;0.050594;None;-0.083349;-0.0055130000000000005;0.0357;0.0022170000000000002;None;0.024159;None;-0.059146000000000004;None;None;None;None;0.06511;None;None;None;None;None
1;1092;None;None;-0.028138999999999997;None;None;None;None;0.0;0.044529;None;None;None;None;None;0.015946000000000002;None;0.0013050000000000002;-0.054095000000000004;0.0222;None;-0.051766999999999994;0.027625999999999998;0.023294;0.017773;None;0.040594;-0.0056359999999999995;0.029623000000000003;-0.015936000000000002;None;-0.004706;None;0.004325;None;None;None;None;0.033804;None;None;None;None;None
russian;1058;None;None;-0.096136;None;None;None;None;-0.033405000000000004;None;None;None;None;None;0.063044;None;0.0;0.0289;-0.057465999999999996;None;0.052822;0.019693000000000002;-0.022603;-0.0023309999999999997;None;0.08189600000000001;-0.000405;-0.05751799999999999;0.0032340000000000003;None;-0.015168000000000001;None;-0.020208;None;None;None;None;0.175836;None;None;None;None;None
2015;1019;None;None;0.034973000000000004;None;None;None;None;-0.0256;0.043407;None;None;None;None;None;-0.01475;None;0.07216399999999999;0.015528;0.032163;None;-0.008287000000000001;-0.003982;0.023558000000000003;0.006562999999999999;None;0.038771;-0.050013999999999996;-0.0058130000000000005;-0.011317;None;-0.038689;None;-0.019496;None;None;None;None;-0.02316;None;None;None;None;None
2014;979;None;None;-0.05728300000000001;None;None;None;None;0.0;-0.037267;None;None;None;None;None;0.032751999999999996;None;0.085978;-0.028899;-0.040596;None;-0.000534;0.013541;-0.025551;-0.022946;None;0.012116;-0.00935;-0.060749;-0.049273000000000004;None;-0.034226;None;0.010834;None;None;None;None;-0.064778;None;None;None;None;None
LGBT;953;None;None;-0.041092000000000004;None;None;None;None;-0.015;None;None;None;None;None;0.038584;None;0.032212;0.062615;-0.10111;None;0.013578;0.055207000000000006;-0.045188;-0.011912;None;0.054726;-0.024271026315789472;-0.014981;-0.013831999999999999;None;0.000499;None;-0.038119;None;None;None;None;-0.063157;None;None;None;None;None
