,one,Fox News,Obama,two,first,Monday,Sunday,Republicans,Thursday,000,ISIS,Wednesday,the Associated Press,FoxNews,three,Washington,New York,1,the United States,State Department,Facebook,second,Syria,Iraq,last week,Iran,California,Russia,China,today,year,2,Twitter,last year,morning,10,July,this week,2011,Afghanistan,3,2010,Pentagon,Army,Navy,Saudi Arabia,4,North Korea,Capitol Hill,20,french,Fox News Channel,500,US,Missouri,half,the Islamic State,Las Vegas,shiite,2007,28,german,New Mexico,Lucas Tomlinson,40,1998,dates
06/2015,-0.025032,0.01564,0.045013,-0.0236,0.0,0.0,0.1027,0.057185,0.0,-0.007947,-0.13478800000000002,0.0,-0.017897999999999997,0.00367,-0.044429,0.0,0.094321,0.004447,0.29472600000000004,0.055389,-0.003785,-0.013946,-0.08132400000000001,-0.01322,-0.08363200000000001,-0.030523,-0.04405,-0.067433,-0.043125,0.0,0.0,-0.0027858214285714287,0.025775,-0.046028,-0.030288,-0.34,0.031178,0.0,-0.155684,-0.1492,0.022226,0.0,-0.01029,0.05295,0.0249,-0.055969000000000005,0.5994,-0.220129,-0.141562,0.1779,0.158338,0.0,-0.003375,0.3818,-0.061308,0.033717000000000004,-0.096433,0.0,-0.053791999999999986,-0.04526,-0.358525,0.4767,-0.125533,0.0,-0.1366,0.1468,06/2015
02/2015,-0.05806,-0.003636,-0.022216999999999997,-0.068219,-0.005581,-0.054116,-0.029407,0.0,-0.021921,0.043241,0.136375,0.038117000000000005,-0.057817999999999994,0.0,0.05798,-0.050732,-0.20678000000000002,0.037992000000000005,None,0.0,-0.0386,-0.011486,0.0,0.0,-0.038717,0.106,-0.229275,0.0,0.5005,0.065969,0.045252999999999995,0.0,None,-0.247667,0.0,-0.023605,0.08895,-0.046617,-0.6369,-0.157021,None,0.094278,0.0,0.0,-0.0057,0.0,-0.003286,0.0,0.0,-0.172721,0.0,0.0,-0.0344,-0.004783,0.0,0.0,None,-0.054033000000000005,-0.6908,0.0,0.0,0.0,0.0,0.0,-0.2732,0.0,02/2015
01/2016,0.0,None,None,-0.060573,0.008814,0.190633,None,None,-0.039238,None,None,-0.11688599999999999,0.0,None,None,-0.08,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.4063,0.0796,None,None,0.0,None,0.0,None,0.0,None,0.007431,None,None,None,-0.020253,None,None,0.0,None,None,-0.8271,None,None,None,0.0,None,0.0,None,0.0,None,None,None,None,None,None,None,0.0,01/2016
12/2015,None,None,None,0.0,None,None,None,None,-0.2732,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12/2015
07/2014,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.33836900000000003,None,None,None,None,None,None,None,None,None,None,None,None,None,0.00725,None,None,None,None,None,None,None,0.017544999999999998,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.230967,None,None,None,None,None,None,None,None,None,07/2014
06/2014,None,0.017772860962566847,-0.014085,None,None,None,-0.031469,0.045472000000000005,None,-0.009433,-0.073271,None,None,0.017953,-0.016784,None,-0.013297999999999999,-0.056745000000000004,None,0.010168,0.028983,0.027692,-0.011789,-0.265239,-0.03115,0.025681,-0.08923099999999999,0.006529999999999999,0.001495,None,None,0.047732,None,None,-0.056157000000000006,None,0.03457,None,-0.043637,None,None,0.059725,-0.03178,None,0.08005,0.0,None,0.01616,-0.18575,None,-0.059588,0.022729,-0.0289,None,0.123475,None,None,None,-0.2023,-0.023892,-0.1604,0.0,0.0,0.0,-0.041325,None,06/2014
11/2015,0.0067670000000000004,None,None,None,0.048244,-0.026757999999999997,None,None,None,None,None,-0.004587,0.03015,None,None,0.003507,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.016522,-0.030289999999999997,None,None,0.018872999999999997,None,0.015683000000000002,None,0.034068,None,0.00209,None,None,None,-0.11858800000000001,None,None,-0.0257,None,None,0.0243,None,None,None,-0.11478,None,-0.055886,None,-0.0903,None,None,None,None,None,None,None,0.0,11/2015
06/2017,None,None,None,-0.03077,None,None,None,None,-0.0061329999999999996,None,None,None,None,None,None,None,None,None,-0.2023,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0772,None,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.5719,None,None,None,06/2017
08/2016,None,None,None,None,None,None,0.0772,0.0,None,-0.2553,None,None,None,None,-0.34,None,None,None,None,None,None,0.0,None,None,None,None,0.0,None,None,None,None,None,None,None,None,None,-0.148475,None,None,None,None,None,None,None,None,-0.0772,None,None,None,None,None,None,None,None,0.0,None,-0.127933,None,0.09476699999999999,0.3182,None,None,None,None,None,None,08/2016
11/2014,0.0,0.0047930397727272735,0.044102999999999996,None,-0.1027,None,None,None,None,None,-0.055607000000000004,0.0,0.0,-0.012959,None,None,-0.036889,0.042459,0.404125,0.074925,0.041862,None,-0.086256,-0.11258,-0.057731,-0.003571,None,0.021845,0.025486,None,None,0.06488300000000001,-0.0014789999999999998,None,0.07850599999999999,-0.4588,None,None,-0.10341600000000001,None,0.000814,0.082923,-0.039452,None,0.06525,None,None,-0.00913,0.158417,None,-0.1036,-0.054491,0.04046,None,None,None,0.126575,None,None,None,0.20413299999999998,-0.1255,0.0,0.0,0.10115,None,11/2014
