,one,first,two,be,three,dates
06/2015,None,None,None,0.0,0.1468,06/2015
02/2015,0.012043,0.32448,0.086267,None,None,02/2015
01/2016,-0.170155,-0.28168000000000004,-0.06105,-0.34,0.0,01/2016
12/2015,0.0,None,None,None,-0.186138,12/2015
07/2014,None,-0.3818,0.012372,0.078455,0.0,07/2014
06/2014,0.018376,0.025252,0.000769,0.07581,None,06/2014
11/2015,0.017294999999999998,0.050888,None,None,-0.039991000000000006,11/2015
06/2017,None,None,None,None,0.006828,06/2017
08/2016,None,None,None,None,None,08/2016
11/2014,None,None,0.0,0.3612,None,11/2014
09/2014,None,0.3612,None,None,None,09/2014
08/2014,0.016531999999999998,None,0.024607,0.07008400000000001,None,08/2014
10/2015,0.063213,0.038586,-0.0385,0.108059,0.020538,10/2015
02/2014,0.04698,0.051283,0.041176,0.0,0.6997,02/2014
12/2016,-0.05106,0.08634700000000001,-0.055262,-0.1695,0.079853,12/2016
09/2015,None,0.10084,-0.0381,None,0.0,09/2015
05/2016,0.026956,None,None,0.096193,-0.4019,05/2016
04/2016,0.021244,0.021214,0.012653,0.05083,None,04/2016
03/2016,0.012549,0.032451999999999995,0.030352,0.067876,0.000519,03/2016
05/2014,0.033065,0.001664,-0.014643000000000003,0.050907,0.026512,05/2014
01/2017,0.0,0.017859,0.005351,-0.2746,0.00634,01/2017
02/2017,0.003249,0.019163,0.011419,0.053941,0.026886,02/2017
05/2017,0.029178,0.009992,0.018205,0.034454000000000005,-0.018858,05/2017
03/2017,-0.025076,0.057145,-0.010875,0.233433,-0.040637,03/2017
07/2017,0.019992,0.010399,-0.026973,0.077053,0.024067,07/2017
11/2016,None,None,None,None,0.010825,11/2016
09/2016,0.048211000000000004,0.040111,0.023824,0.06637699999999999,None,09/2016
02/2016,None,None,None,None,-0.001324,02/2016
04/2017,0.021897999999999997,0.022869,-0.010426999999999999,0.114294,None,04/2017
03/2015,-0.296,0.5859,None,None,0.011616,03/2015
06/2016,None,None,None,None,None,06/2016
01/2014,None,None,None,None,None,01/2014
10/2016,None,None,-0.006756999999999999,0.061094,None,10/2016
12/2014,-0.004173,0.020588,0.0,None,-0.055102,12/2014
10/2014,0.0,None,None,None,None,10/2014
03/2014,None,None,None,,None,03/2014
04/2014,None,-0.0386,-0.152867,,,04/2014
07/2016,,0.6369,,,,07/2016
01/2015,,,,,,01/2015
04/2015,,,,,,04/2015
07/2015,,,,,,07/2015
05/2015,,,,,,05/2015
08/2015,,,,,,08/2015
